,,INPUT PARAMETERS,,,,,,,,,OUTPUT,,,,,,
City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,,,,,, 
Mumbai,9/30/2019,8.33,26.16,21.75,9.8,31.46,12.68,0.32,8.42,6.25,41,,,,,,
Mumbai,10/1/2019,10.46,42.8,25.55,8.67,33.31,12.79,0.35,8.4,6.29,50,,,,,,
Mumbai,10/2/2019,16.15,56.33,28.85,11.75,39.43,14.04,0.47,8.57,8,64,,,,,,
Mumbai,10/3/2019,17.62,52.25,27.17,14.41,40.88,13.22,0.66,8.76,8.22,68,,,,,,
Mumbai,10/4/2019,24.77,64.32,24.94,18.88,42.97,13.33,0.71,9.19,10.65,72,,,,,,
Mumbai,10/5/2019,32.11,74.94,30.47,23.52,52.77,17.09,1.19,9.91,15.35,96,,,,,,
Mumbai,10/6/2019,35.13,77.75,27.92,27.19,53.84,14.61,0.83,11.47,27.28,99,,,,,,
Mumbai,10/7/2019,45.48,88.32,17.51,26.69,42.85,14,0.84,10.13,26.16,93,,,,,,
Mumbai,10/8/2019,54.08,99.28,11.83,26.33,36.78,12.48,1.45,10.18,27.71,112,,,,,,
Mumbai,10/9/2019,21.6,49.28,17.6,27.88,45.09,13.27,1.02,10.08,20.53,90,,,,,,
Mumbai,10/10/2019,39.03,81.82,22.43,33.69,55.32,13.7,0.89,11.46,24.9,89,,,,,,
Mumbai,10/11/2019,39.11,77.93,16.68,34.85,51.5,19.65,1.12,11.26,30.85,118,,,,,,
Mumbai,10/12/2019,49.37,103.99,23.95,32.46,56.41,15.3,0.83,12.09,32.79,110,,,,,,
Mumbai,10/13/2019,42.92,88.36,19.99,30.6,50.59,13.69,1.54,12.81,27.03,112,,,,,,
Mumbai,10/14/2019,55.33,112.01,21.2,32.7,53.9,14.9,0.98,13.2,25.92,117,,,,,,
Mumbai,10/15/2019,50.61,111.2,21.49,33.54,55.03,14.75,1.15,14.05,26.74,116,,,,,,
Mumbai,10/16/2019,49.19,118.26,22.95,35.06,57.99,15.33,1.24,14.7,29.97,121,,,,,,
Mumbai,10/17/2019,56.89,126.82,18.2,34.5,52.69,15.51,1.22,13.74,38.93,135,,,,,,
Mumbai,10/18/2019,62.55,129.06,31.34,35.88,67,18.73,1.19,13.29,13.21,135,,,,,,
Mumbai,10/19/2019,28.56,48.57,34.93,24.93,59.86,19.56,1.08,11.67,8.47,99,,,,,,
Mumbai,10/20/2019,15.09,29.91,26.82,21,46.26,21.13,1.19,11.06,8.69,86,,,,,,
Mumbai,10/21/2019,17.75,41.34,20.91,20.24,39.17,19.3,1.03,10.82,15.31,81,,,,,,
Mumbai,10/22/2019,17.92,44.55,19.12,22.87,40.4,15.09,1.04,10.54,15.92,76,,,,,,
Mumbai,10/23/2019,17.85,41.64,39.34,18.52,55.43,16.18,0.89,11.87,7.6,72,,,,,,
Mumbai,10/24/2019,30.71,72.1,41.44,24.2,63.53,17.51,1.04,12.45,8.38,87,,,,,,
Mumbai,10/25/2019,20.04,46.59,24.72,23.05,47.77,16.19,0.93,10.47,6.84,82,,,,,,
Mumbai,10/26/2019,25.58,57.91,35.65,18.86,54.15,15.37,0.91,9.45,8.26,69,,,,,,
Mumbai,10/27/2019,39.09,76.14,38.01,15.53,52.34,19.28,0.93,9.28,11.02,105,,,,,,
Mumbai,10/28/2019,53.5,91.27,23.72,17.36,40.97,17.58,0.68,9.61,13.97,92,,,,,,
Mumbai,10/29/2019,56.28,102.53,21.95,25.2,46.88,14.21,0.67,13.83,20.94,113,,,,,,
Mumbai,10/30/2019,40.81,84.5,19.68,25.09,44.63,13.88,0.83,13.26,16.87,97,,,,,,
Mumbai,10/31/2019,25.37,77.85,23.35,26.43,49.77,14.51,0.8,14.56,11.5,81,,,,,,
Mumbai,11/1/2019,16.55,57.59,20.48,25.78,44.17,14.82,0.65,14.62,13.02,77,,,,,,
Mumbai,11/2/2019,11.99,39.96,18.12,23.12,41.17,16.57,0.64,14.22,9.88,57,,,,,,
Mumbai,11/3/2019,20.09,62.74,25.17,23.86,48.84,17.7,0.72,15.36,10.7,71,,,,,,
